Hour,GSR
0,0.31993006993006984
1,0.31993006993006984
2,0.31993006993006984
3,0.321095571095571
4,1.5367132867132867
5,8.661421911421911
6,22.48076923076923
7,38.84731934731935
8,54.761655011655016
9,67.71736596736598
10,76.32808857808857
11,80.1168414918415
12,80.02680652680652
13,75.78088578088578
14,65.48659673659674
15,53.92482517482517
16,38.27097902097902
17,22.106060606060606
18,9.114801864801866
19,1.6252913752913751
20,0.31993006993006984
21,0.31993006993006984
22,0.31993006993006984
23,0.31993006993006984
